search_term,month,search_index
climbing lessons,2020-05,25
climbing lessons,2020-06,37
climbing lessons,2020-07,31
climbing lessons,2020-08,55
climbing lessons,2020-09,52
climbing lessons,2020-10,33
climbing lessons,2020-11,29
climbing lessons,2020-12,31
climbing lessons,2021-01,33
climbing lessons,2021-02,26
climbing lessons,2021-03,37
climbing lessons,2021-04,47
climbing lessons,2021-05,47
climbing lessons,2021-06,47
climbing lessons,2021-07,63
climbing lessons,2021-08,66
climbing lessons,2021-09,53
climbing lessons,2021-10,40
climbing lessons,2021-11,45
climbing lessons,2021-12,42
climbing lessons,2022-01,69
climbing lessons,2022-02,61
climbing lessons,2022-03,51
climbing lessons,2022-04,52
climbing lessons,2022-05,47
climbing lessons,2022-06,55
climbing lessons,2022-07,59
climbing lessons,2022-08,55
climbing lessons,2022-09,50
climbing lessons,2022-10,49
climbing lessons,2022-11,40
climbing lessons,2022-12,43
climbing lessons,2023-01,54
climbing lessons,2023-02,48
climbing lessons,2023-03,49
climbing lessons,2023-04,46
climbing lessons,2023-05,43
climbing lessons,2023-06,45
climbing lessons,2023-07,51
climbing lessons,2023-08,49
climbing lessons,2023-09,51
climbing lessons,2023-10,44
climbing lessons,2023-11,38
climbing lessons,2023-12,41
climbing lessons,2024-01,50
climbing lessons,2024-02,39
climbing lessons,2024-03,43
climbing lessons,2024-04,45
climbing lessons,2024-05,46
climbing lessons,2024-06,44
climbing lessons,2024-07,50
climbing lessons,2024-08,100
climbing lessons,2024-09,55
climbing lessons,2024-10,46
climbing lessons,2024-11,46
climbing lessons,2024-12,45
climbing course,2015-01,29
climbing course,2015-02,29
climbing course,2015-03,33
climbing course,2015-04,28
climbing course,2015-05,32
climbing course,2015-06,30
climbing course,2015-07,34
climbing course,2015-08,34
climbing course,2015-09,31
climbing course,2015-10,25
climbing course,2015-11,23
climbing course,2015-12,25
climbing course,2016-01,30
climbing course,2016-02,29
climbing course,2016-03,34
climbing course,2016-04,31
climbing course,2016-05,29
climbing course,2016-06,36
climbing course,2016-07,34
climbing course,2016-08,32
climbing course,2016-09,31
climbing course,2016-10,29
climbing course,2016-11,28
climbing course,2016-12,27
climbing course,2017-01,32
climbing course,2017-02,30
climbing course,2017-03,33
climbing course,2017-04,37
climbing course,2017-05,33
climbing course,2017-06,37
climbing course,2017-07,37
climbing course,2017-08,35
climbing course,2017-09,37
climbing course,2017-10,34
climbing course,2017-11,29
climbing course,2017-12,29
climbing course,2018-01,30
climbing course,2018-02,33
climbing course,2018-03,34
climbing course,2018-04,34
climbing course,2018-05,33
climbing course,2018-06,33
climbing course,2018-07,37
climbing course,2018-08,37
climbing course,2018-09,32
climbing course,2018-10,29
climbing course,2018-11,29
climbing course,2018-12,32
climbing course,2019-01,34
climbing course,2019-02,30
climbing course,2019-03,38
climbing course,2019-04,35
climbing course,2019-05,33
climbing course,2019-06,38
climbing course,2019-07,40
climbing course,2019-08,38
climbing course,2019-09,32
climbing course,2019-10,31
climbing course,2019-11,25
climbing course,2019-12,30
climbing course,2020-01,34
climbing course,2020-02,31
climbing course,2020-03,23
climbing course,2020-04,19
climbing course,2020-05,20
climbing course,2020-06,23
climbing course,2020-07,25
climbing course,2020-08,30
climbing course,2020-09,27
climbing course,2020-10,24
climbing course,2020-11,21
climbing course,2020-12,19
climbing course,2021-01,18
climbing course,2021-02,18
climbing course,2021-03,23
climbing course,2021-04,26
climbing course,2021-05,30
climbing course,2021-06,31
climbing course,2021-07,35
climbing course,2021-08,34
climbing course,2021-09,28
climbing course,2021-10,23
climbing course,2021-11,29
