sport,article,date,pageviews
Skydiving,Skydiving,2024-04-01,1602
Skydiving,Skydiving,2024-05-01,1475
Skydiving,Skydiving,2024-06-01,1613
Skydiving,Skydiving,2024-07-01,1463
Skydiving,Skydiving,2024-08-01,1552
Skydiving,Skydiving,2024-09-01,1481
Skydiving,Skydiving,2024-10-01,1805
Skydiving,Skydiving,2024-11-01,1627
Skydiving,Skydiving,2024-12-01,1519
Slacklining,Slacklining,2015-07-01,15876
Slacklining,Slacklining,2015-08-01,16322
Slacklining,Slacklining,2015-09-01,16321
Slacklining,Slacklining,2015-10-01,17559
Slacklining,Slacklining,2015-11-01,12185
Slacklining,Slacklining,2015-12-01,12486
Slacklining,Slacklining,2016-01-01,13439
Slacklining,Slacklining,2016-02-01,11151
Slacklining,Slacklining,2016-03-01,12127
Slacklining,Slacklining,2016-04-01,13656
Slacklining,Slacklining,2016-05-01,14867
Slacklining,Slacklining,2016-06-01,14571
Slacklining,Slacklining,2016-07-01,14425
Slacklining,Slacklining,2016-08-01,12923
Slacklining,Slacklining,2016-09-01,15935
Slacklining,Slacklining,2016-10-01,11075
Slacklining,Slacklining,2016-11-01,9745
Slacklining,Slacklining,2016-12-01,9982
Slacklining,Slacklining,2017-01-01,28005
Slacklining,Slacklining,2017-02-01,11851
Slacklining,Slacklining,2017-03-01,14082
Slacklining,Slacklining,2017-04-01,14908
Slacklining,Slacklining,2017-05-01,15673
Slacklining,Slacklining,2017-06-01,18177
Slacklining,Slacklining,2017-07-01,13219
Slacklining,Slacklining,2017-08-01,12850
Slacklining,Slacklining,2017-09-01,11692
Slacklining,Slacklining,2017-10-01,11512
Slacklining,Slacklining,2017-11-01,9421
Slacklining,Slacklining,2017-12-01,8150
Slacklining,Slacklining,2018-01-01,8832
Slacklining,Slacklining,2018-02-01,8735
Slacklining,Slacklining,2018-03-01,9953
Slacklining,Slacklining,2018-04-01,9980
Slacklining,Slacklining,2018-05-01,11718
Slacklining,Slacklining,2018-06-01,10818
Slacklining,Slacklining,2018-07-01,10018
Slacklining,Slacklining,2018-08-01,14688
Slacklining,Slacklining,2018-09-01,9598
Slacklining,Slacklining,2018-10-01,9333
Slacklining,Slacklining,2018-11-01,8165
Slacklining,Slacklining,2018-12-01,7201
Slacklining,Slacklining,2019-01-01,8962
Slacklining,Slacklining,2019-02-01,7749
Slacklining,Slacklining,2019-03-01,10467
Slacklining,Slacklining,2019-04-01,9837
Slacklining,Slacklining,2019-05-01,10669
Slacklining,Slacklining,2019-06-01,8977
Slacklining,Slacklining,2019-07-01,13030
Slacklining,Slacklining,2019-08-01,11163
Slacklining,Slacklining,2019-09-01,9305
Slacklining,Slacklining,2019-10-01,6954
Slacklining,Slacklining,2019-11-01,7115
Slacklining,Slacklining,2019-12-01,7369
Slacklining,Slacklining,2020-01-01,7070
Slacklining,Slacklining,2020-02-01,6624
Slacklining,Slacklining,2020-03-01,7993
Slacklining,Slacklining,2020-04-01,9539
Slacklining,Slacklining,2020-05-01,8904
Slacklining,Slacklining,2020-06-01,8885
Slacklining,Slacklining,2020-07-01,8905
Slacklining,Slacklining,2020-08-01,7616
Slacklining,Slacklining,2020-09-01,8900
Slacklining,Slacklining,2020-10-01,7952
Slacklining,Slacklining,2020-11-01,7482
Slacklining,Slacklining,2020-12-01,7952
Slacklining,Slacklining,2021-01-01,7231
Slacklining,Slacklining,2021-02-01,11195
Slacklining,Slacklining,2021-03-01,8435
Slacklining,Slacklining,2021-04-01,9001
Slacklining,Slacklining,2021-05-01,9501
Slacklining,Slacklining,2021-06-01,8428
Slacklining,Slacklining,2021-07-01,7813
Slacklining,Slacklining,2021-08-01,7108
Slacklining,Slacklining,2021-09-01,8271
Slacklining,Slacklining,2021-10-01,6549
Slacklining,Slacklining,2021-11-01,5583
Slacklining,Slacklining,2021-12-01,5516
Slacklining,Slacklining,2022-01-01,6404
Slacklining,Slacklining,2022-02-01,6141
Slacklining,Slacklining,2022-03-01,6444
Slacklining,Slacklining,2022-04-01,5925
Slacklining,Slacklining,2022-05-01,6046
Slacklining,Slacklining,2022-06-01,5778
Slacklining,Slacklining,2022-07-01,7230
Slacklining,Slacklining,2022-08-01,13119
Slacklining,Slacklining,2022-09-01,6734
Slacklining,Slacklining,2022-10-01,6841
Slacklining,Slacklining,2022-11-01,6907
Slacklining,Slacklining,2022-12-01,4973
Slacklining,Slacklining,2023-01-01,5395
Slacklining,Slacklining,2023-02-01,5237
Slacklining,Slacklining,2023-03-01,7286
Slacklining,Slacklining,2023-04-01,6553
Slacklining,Slacklining,2023-05-01,7536
Slacklining,Slacklining,2023-06-01,7964
